long;str;str
41184;Lightning Bolt;"Blasts an enemy with lightning; inflicting Nature damage."
41185;Bloodlust;"Increases melee; ranged; and spell casting speed by $s1% for all party members.  Lasts $d."
41186;Wyvern Sting;"A stinging shot that puts the target to sleep for $d.  Any damage will cancel the effect.  When the target wakes up; the Sting causes Nature damage over $24336d."
41187;Multi-Shot;"Fires a volley of missiles at an enemy and its nearby allies; striking up to $x1 targets for normal damage plus $s1."
41188;Shoot;"Shoots at an enemy; inflicting Physical damage."
41189;Instant Poison;Instantly deals $s1 Nature damage to the target.
41190;Mind-numbing Poison;"A dangerous poison numbs the mind of the target; reducing its casting speed by $s1% for $d."
41191;Deadly Poison;
41192;Deadly Poison;Inflicts $s1 Nature damage to an enemy every $t1 sec. for $d.
41193;Cloud of Disease;
41194;Whirlwind;Attacks nearby enemies in a whirlwind of steel that lasts $d. and inflicts normal damage plus $41195s1.
41195;Whirlwind;Attacks nearby enemies in a whirlwind of steel that inflicts normal damage plus $s1.
41196;Shield Wall;Reduces the Physical and magical damage taken by the caster by $s1% for $d.
41197;Shield Bash;"Bashes an enemy with the caster's shield; inflicting Physical damage and interrupting the spell being cast for $d."
41198;Intervene;"Run at high speed towards a party member; intercepting the next melee or ranged attack made against them."
41205;Bracers of Nimble Thought;
41206;Mantle of Nimble Thought;
41207;Swiftheal Wraps;
41208;Swiftheal Mantle;
41213;Throw Shield;"Hurl your shield at the enemy; dealing $s1% weapon damage and stunning them for $d."
41214;Throw Shield;Returns the shield to the caster.
41215;Summon Bash'ir Boss North;
41216;Summon Bash'ir Boss South;
41217;Summon Bash'ir Boss West;
41218;Death;
41219;Bash'ir Landing Boss: Reagent - East;
41220;Death;
41221;Teleport Maiev;
41222;Bash'ir Landing Boss: Reagent - North;
41223;Bash'ir Landing Boss: Reagent - South;
41224;Bash'ir Landing Boss: Reagent - West;
41225;Bash'ir Landing Boss: Force Cast - East;
41226;Bash'ir Landing Boss: Force Cast - North;
41227;Bash'ir Landing Boss: Force Cast - South;
41228;Bash'ir Landing Boss: Force Cast - West;
41229;Bloodbolt;Inflicts Shadow damage to an enemy and reduces its movement speed for $d.
41230;Prophecy of Blood;Increases target's damage taken by $s1% and damage dealt by $s2%.
41231;Prophecy of Blood;Increases target's damage taken by $s1% and damage dealt by $s2%.
41232;Teleport Visual Only;
41233;Brute Cologne;"Splash it all over to unleash the sophisticated ogre inside. Creatures of all kinds will be certain to notice you from afar.



Only works in Blade's Edge Mountains."
41234;Teleport: Black Temple;Teleports the bearer to the footsteps of Illidan's fortress.
41235;Simon Game - Visual - Level Start Offset;
41236;Teleport Visual;
41237;Charged Crystal Focus;Instantly restores $s1 life.  The focus is also rumored to unlock special powers within possessed demons.  Kronk in Ogri'la can likely tell you about this.
41238;Blood Drain;"Drains $o1 health from an enemy over $d.; transferring it to the caster."
41241;Simon Game - Bad Press;
41242;Akama Despawn;
41245;Soul Blast;"Hurls missiles of dark magic; inflicting Shadow damage to nearby enemies."
41246;Shared Suffering;"When active; $s2% of all damage taken by the caster is taken by the target."
41247;Shared Suffering;
41248;Consuming Strikes;Consuming Strikes causes all of your attacks to heal you.
41249;Consuming Strikes;Heals the caster for an amount equal to any damage dealt to enemies.
41250;Blessing of McWeaksauce;
41251;Combat Rage;Increases the caster's attack speed by $s2% and the Physical damage it deals by $s1 for $d.
41252;Raven Lord;Summons and dismisses a giant raven steed.  This is a very fast mount.
41253;Greater Invisibility;Turns the caster invisible until the effect is cancelled.
41254;Enrage;Decreases the time between your attacks by $s1% for $d.
41255;Teleport to Caverns of Time: Hyjal;
41256;Teleport to the Black Temple;
41257;Simon Game - Visual - Game Failed (Large);
41259;"Simon Game; Reward Offset";
41260;Aviana's Purpose;$h% chance to increase your attack power by $41261s1 for $41261d when you kill a target that gives experience or honor. This effect cannot occur more than once every 10 seconds.
41261;Combat Valor;Increases attack power by $s1.
41262;Aviana's Will;$h% chance to increase your spell power by $41263s1 for $41263d when you kill a target that gives experience or honor. This effect cannot occur more than once every 10 seconds.
41263;Combat Gallantry;
41264;Energy Surge;Inflicts Arcane damage to an enemy for $d.
41265;Energy Surge;"Blasts an enemy with lightning; inflicting Nature damage."
41266;Energy Flare;"Surrounds the caster with arcane energy; granting a $h% chance of striking melee attackers for $s1 damage. The shield expires after $d."
41267;Opening Ethereum Stasis Chamber;Unlocks Ethereum stasis chambers.
41268;Quest - Black Temple - Akama - Door Open;
41269;Quest - Black Temple - Deathsworn - Door Open;
41270;Reth'hedron Ground to Air Pulse;
41271;Quest - Black Temple - Akama - Door Fail;
41272;Behemoth Charge;"Charges an enemy; inflicting normal damage plus $s2 and stuns the opponent for $d."
41273;Deepdiving Pearl;"Swallow the pearl; granting the imbiber the ability to breath water and greatly increased swim speed.  Lasts $d."
41274;Fel Stomp;"Inflicts $s1 Physical damage to nearby enemies; stunning them for $d."
41275;"Ethereal Ring; Summon Boss 3 Lieutenant";
41276;Meteor;"Deals $s1 Fire damage; split between all enemies within $r1 yards of the impact crater."
41277;Fiery Comet;
41278;Taxi - Skyguard Outpost to Skettis;
41279;Taxi - Skettis to Skyguard Outpost;
41280;Shadow Bolt;"Hurls a bolt of dark magic at an enemy; inflicting Shadow damage."
41281;Cripple;"Increases the time between an enemy's attacks by $s2% and its movement by $s1%; in addition to reducing its Strength by $s3%. Lasts $d."
41282;Shadow Bolt Volley;"Hurls missiles of dark magic; inflicting Shadow damage to nearby enemies."
41283;Abyssal Toss;
41284;Abyssal Impact;
41285;Reth'hedron Knockdown: The Aggro Check;
41286;Reth'hedron Knockdown: The Aggro Burst;
41287;Reth'hedron Knockdown Choose Loc;
41289;"Ethereal Ring; Signal Flare";
41290;Disease Cloud;Caster is diseased.
41291;Soul Cannon;Siphons the life of Reth'hedron the Subduer.
41292;Aura of Suffering;"Healing effects reduced by $s1%.

Regeneration effects reduced by $s2%.

Armor reduced by 100%.

Defense reduced by 500."
41293;"Ethereal Ring; Signal Flare Burst";
41294;Fixate;"Causes an enemy to become fixated; lasts $d."
41295;Fixate;The target is fixated upon the caster.
41296;Essence of Suffering Passive;
41299;Unlearn Spellfire Tailoring;"Unlearns Spellfire tailoring; allowing you to choose another tailoring specialization."
41300;Simon Game - Visual - Game Start TEST;
41301;Time-Lost Figurine;Transforms caster to have the appearance of a Skettis arakkoa.
41302;Cosmetic - Bash'ir Spawn Lightning;Pink lightning beam
41303;Soul Drain;"Deals $s1 damage every $t1 sec.

Drains $s2 mana every $t2 sec."
41304;Blue Brew;Restores $s1 mana. Only works in the Blade's Edge Plateaus.
41305;Frenzy;"Physical damage dealt is increased by $s1%.

Attack speed increased by $s2%."
41306;Red Brew;Restores $s1 health. Only works in the Blade's Edge Plateaus.
41307;Gyro-balanced Khorium Destroyer;
41310;Immune Root/Stun/Polymorph;"Dispels all Immobilizing; Stun and Polymorph effects."
41311;Justicebringer 2000 Specs;
41312;Tankatronic Goggles;
41313;Immune Fear/Stun/Snare;"Dispels all Fear; Stun and Slowing effects."
41314;Surestrike Goggles v2.0;
41315;Gadgetstorm Goggles;
41316;Living Replicator Specs;
41317;Deathblow X11 Goggles;
41318;Wonderheal XT40 Shades;
41319;Magnified Moon Specs;
41320;Destruction Holo-gogs;
41321;Powerheal 4000 Lens;
41332;Blade's Edge - Bash'ir Materialization Beam 01;Spell that makes target's Alpha level increase
41333;Empyreal Equivalency;Ensures the balance of power between the members of the Illidari Council. Equalizes health between all council members.
41334;Polymorph;"Transforms an enemy into a sheep; forcing it to wander around for up to $d. While wandering; the sheep cannot attack or cast spells. Any damage will transform the target back into its normal form. Only one target can be polymorphed at a time. Only works on beasts; dragons; giants; humanoids; and critters."
41335;Blade's Edge - Bash'ir Materialization Beam 02;Spell that makes target's Alpha level increase
41336;Blade's Edge - Bash'ir Materialization Beam 03;Pink lightning beam that makes target's Alpha level increase
41337;Aura of Anger;"Deals shadow damage over time. 

Increases damage dealt.

Effects increase over time."
41338;Love Tap;"Playfully strikes the target; dealing $s1 damage and stunning them for $d."
41339;Cosmetic - Legion Ring Purple Lightning (Self);Purple lightning beam
41340;Reth'hedron Quest Complete;
41341;Balance of Power;Causes the Illidari Council to share their health with each other.
41342;Shared Rule;
41343;Shared Rule;
41344;Shared Rule;
41345;Infatuation;
41346;Poisonous Throw;"Throws your weapon; inflicting $s1 Nature damage on the target and inflicts $s2 Nature damage every $t2 sec. for $d."
41347;Spotlight;
41348;L4 Arcane Charge;
41349;L4 Arcane Charge;Causes $s2 Arcane damage to nearby enemies.
41350;Aura of Desire;"Damage taken when damage dealt.

Healing increased by $s1%.

Decreases maximum mana over time."
41351;Curse of Vitality;Deals shadow damage over $d.  The effect is removed if the target falls below 50% of their maximum life.
41352;Aura of Desire;
41353;Lash of Pain;"Lashes an enemy; inflicting Shadow damage."
41355;Shadow Word: Pain;"Utters a word of darkness; inflicting Shadow damage to an enemy every $t1 sec. for $d."
41356;Chest Pains;"Agonizing chest pains afflict the target; stunning it for $d."
41357;L1 Arcane Charge;Causes $s1 Arcane damage to an enemy target.
41358;Rizzle's Blackjack;"Charges an enemy; inflicting normal damage plus $s3."
41359;L1 Arcane Charge;
41360;L5 Arcane Charge;Deals Arcane damage to a single target.
41362;Shared Bonds;
41363;Shared Bonds;"The life force of the target and caster are linked; sharing damage equally between each other."
41364;Seethe;
41365;Blade's Edge - Bash'ir Materialization Beam 00;Spell that makes target's Alpha level increase
41367;Divine Shield;"Protects the caster from all attacks and spells for $d.; but also increases the time between attacks by $s2% during that time."
41368;Judgement of Command;Judges the enemy for $s1 holy damage.
41369;Painful Rage;Increases the caster's attack speed by $s2% and the Physical damage it deals by $s1% for $d.
41370;Holy Smite;"Smites an enemy; inflicting Holy damage."
41371;Shell of Pain;Causes $s1 Shadow damage when attacked and reflects spells back to their casters.
41372;Heal;Calls upon Holy magic to heal an ally.
41373;Power Word: Shield;"Wraps an ally in a shield that lasts up to $d.; absorbing a maximum of $s1 Physical or magical damage. While the shield holds; spells will not be interrupted by Physical attacks."
41374;Mind Blast;"Inflicts Shadow damage to an enemy; but causes a high amount of threat."
41375;Shadow Word: Death;"Inflicts $s1 Shadow damage to an enemy; but deals equal damage to the caster."
41376;Spite;"Focuses upon the target; making the target immune to damage for $d; but dealing a large amount of damage after $d."
41377;Spite;
41378;Greater Heal;Calls upon Holy magic to heal an ally.
41379;Flamestrike;"Calls down a pillar of flame; burning all enemies in a selected area and inflicting additional damage every $t2 sec. for $d."
41380;Holy Nova;"Causes an explosion of divine light; inflicting $s1 Holy damage to nearby enemies."
41381;Shell of Life;Makes the caster immune to spells.
41382;Blizzard;"Calls down a blizzard that lasts $d.; inflicting $s1 Frost damage every $t1 sec. and slowing the movement speed of all enemies in a selected area by $s2%."
41383;Fireball;Inflicts Fire damage to an enemy.
41384;Frostbolt;Inflicts Frost damage to an enemy and reduces its movement speed for $d.
41386;Heal;Calls upon Holy magic to heal an ally.
41388;Uppercut;"Inflicts normal damage plus $s1 to an enemy; knocking it back."
41389;Kidney Shot;Stuns an enemy for $d.
41390;Ambush;"Ambush the target; causing $s1 damage."
41392;Riposte;
41393;Riposte;A strike that becomes active after parrying an opponent's attack.  This attack deals $s1 Physical damage and disarms the target for $d.
41394;Light of the Naaru;Deals $s1 Holy damage to Illidari demons.
41395;Kick;"Kicks an enemy for $s1 damage; interrupting the spell being cast for $d."
41396;Sleep;Puts an enemy to sleep for up to $d. Any damage caused will awaken the target. Only one target can be asleep at a time.
41397;Confusion;Causes all nearby targets to wander confused for up to $d.  Any damage caused will remove the effect.
41398;"Simon Game - Audible - Button Push; Blue";
41399;Whirlwind;Attacks nearby enemies in a whirlwind of steel that lasts $d. and inflicts normal damage plus $41400s1.
41400;Whirlwind;Attacks nearby enemies in a whirlwind of steel that inflicts normal damage plus $s1.
41402;Xi'ri's Restoration;
41404;Dementia;Inflicts the target with dementia.
41405;Xi'ri's Light;
41406;Dementia;
41407;"Simon Game; Audible Offset";
41408;Shadowform;
41409;Dementia;
41410;Deaden;Increase the damage taken by the target by $s1% for $d.
41411;Cloak Exchange: Force Cast;
41412;Cloak Exchange: Reagent;
41413;Cloak Exchange: Create 1 Apexis Crystal;
41414;Brilliant Pearl Band;
41415;The Black Pearl;
41418;Crown of the Sea Witch;
41419;Crown of the Sea Witch;
41420;Purified Jaggal Pearl;
41421;Brief Stun;
41423;Release Lucille;Releases a hungry nether ray from the cage.
41425;Hypothermia;"As side-effect of exposure to intense cold; the caster cannot Ice Block again for $d."
41426;Spirit Shock;"Deals $s1 Shadow damage to the target; confusing them for $d."
41427;Lucille Feed Credit Trigger;
41428;Summon Lucille Credit;
41429;Purified Shadow Pearl;
41431;Rune Shield;"Absorbs $s1 damage.

Immune to spell interrupt effects.

Increases attack speed by $s2%.

Increases casting speed by $s2%."
41432;Demon Slaying 50;Increases attack power by $s1 when fighting Demons.
41433;Demon Slaying 200;Increases attack power by $s1 when fighting Demons.
41434;The Twin Blades of Azzinoth;Your melee attacks have a chance to increase your haste rating by $41435s1 for $41435d1.
41435;The Twin Blades of Azzinoth;Increases melee haste rating by $s1.
41436;Panic;"Panics nearby enemies; causing them to flee in fear for $d."
41437;Double Breath;Inflicts Fire damage to enemies in a cone in front of the caster.
41438;Double Breath;Inflicts $s1 Fire damage to enemies in a cone in front of the caster.
41439;Mangle;Inflicts $s2 damage to an enemy every $t2 sec. and slows its movement by $s1% for $d.
41440;Shoot;"Shoots at an enemy; inflicting Physical damage."
41441;Acid Geyser;Deals $s1 Nature to the target and all nearby enemies.
41442;Major Arcane Resistance Potion;
41443;Cauldron of Major Arcane Protection;"Creates a cauldron that raid members can use to conjure a Major Arcane Protection Potion.  Cauldron has 25 uses and lasts for $d.



Conjured items disappear if logged out for more than 15 minutes."
41444;Fel Flames;Inflicts $s1 Fire damage to enemies in a cone in front of the caster.  Then inflicts further Fire damage over $d.
41445;Fel Flames;Inflicts $s1 Fire damage to enemies in a cone in front of the caster.
41446;Cursed Vision of Sargeras;Shows the location of all nearby demons on the minimap.
41447;Enrage;Increases the caster's attack speed by $s2% and the Physical damage it deals by $s1% for $d.
41448;Multi-Shot;"Fires a volley of missiles at an enemy and its nearby allies; striking up to $x1 targets for normal damage plus $s1."
41449;Nether Ray Desummoner;
41450;Blessing of Protection;A targeted party member is protected from all physical attacks for $d.
41451;Blessing of Spell Warding;A targeted party member is protected from all magical attacks for $d.
41452;Devotion Aura;Gives $s1% additional armor to nearby party members for $d. Players may only have one aura on them per paladin at any one time.
41453;Chromatic Resistance Aura;Increases the resistance of nearby group members to all schools of magic by $s1 for $d.
41454;Quest Complete Dragonmaw Raid;
41455;Circle of Healing;Invokes Holy magic to heal nearby party members.
41456;Renew;Periodic healing
41457;"Ethereal Ring Visual; Lightning Start (DND)";
41458;Cauldron of Major Arcane Protection;
41459;Seal of Blood;"All melee attacks deal additional Holy damage equal to normal weapon damage.



Unleashing this Seal's energy will judge an enemy; periodically causing Holy damage."
41460;Recipe: Cauldron of Major Arcane Protection;Teaches you how to make a Cauldron of Major Arcane Protection.
41461;Judgement of Blood;"Unleashing this Seal's energy will judge an enemy; causing Holy damage every $t1 sec."
41462;Increased Resilience 35;#NAVN?
41463;Increased Resilience 35;#NAVN?
41464;Increased Resilience 35;#NAVN?
41465;Increased Resilience 35;#NAVN?
41466;Summon Glaive;
41467;Judgement;Unleashes the energy of a Seal spell upon an enemy.  Refer to individual Seals for Judgement effect.
41468;Hammer of Justice;"Stuns an enemy; rendering it unable to move or attack for $d."
41469;Seal of Command;"Gives the caster a chance to deal additional Holy damage equal to $20424s1% of normal weapon damage.  Lasts $41469d.



Judging this command deals $41470s1 Holy damage."
41470;Judgement of Command;Judges the enemy for $s1 holy damage.
41471;Empowered Smite;"Smites an enemy; inflicting $s1 Holy damage."
41472;Divine Wrath;"Consumes an enemy in flames; burning it and inflicting additional Fire damage every $t2 sec. over $d."
41473;Judgement Primer;
41474;Increased Resilience 35;#NAVN?
41475;Reflective Shield;"Wraps the caster in a shield that lasts up to $d.; absorbing a maximum of $s1 damage and reflecting half of any absorbed damage back onto the attacker."
41476;Vanish;Puts the caster in stealth mode for $d.
41477;"Ethereal Ring Visual; Lightning Aura";
41478;Dampen Magic;"Dampens magic used against the targeted party member; decreasing damage taken from spells by up to $s1% and healing spells by up to $s2.  Lasts $d."
41479;Vanish;Teleports the caster a random distance away.
41480;Deadly Strike;
41481;Flamestrike;"Calls down a pillar of flame; burning all enemies in a selected area and inflicting additional damage every $t2 sec. for $d."
41482;Blizzard;"Calls down a blizzard that lasts $d.; inflicting $s1 Frost damage every $t1 sec. to all enemies in a selected area."
41483;Arcane Bolt;"Hurls a magical bolt at an enemy; inflicting Arcane damage."
41484;Fireball;"Inflicts $s1 Fire damage to an enemy; plus $s2 additional damage every $t2 seconds for $d."
41485;Deadly Poison;Poisons an enemy target with deadly poison.
41486;Frostbolt;Inflicts Frost damage to an enemy and reduces its movement speed for $d.
41487;Envenom;Finishing move that consumes the Deadly Poison on the target and deals instant poison damage.
41488;Summon Essence of Suffering;
41489;Major Fire Resistance Potion;
41490;Major Frost Resistance Potion;
41491;Major Nature Resistance Potion;
41492;Major Shadow Resistance Potion;
41493;Summon Essence of Desire;
41494;Cauldron of Major Fire Protection;"Creates a cauldron that raid members can use to conjure a Major Fire Protection Potion.  Cauldron has 25 uses and lasts for $d.



Conjured items disappear if logged out for more than 15 minutes."
41495;Cauldron of Major Frost Protection;"Creates a cauldron that raid members can use to conjure a Major Frost Protection Potion.  Cauldron has 25 uses and lasts for $d.



Conjured items disappear if logged out for more than 15 minutes."
41496;Summon Essence of Anger;
41497;Cauldron of Major Nature Protection;"Creates a cauldron that raid members can use to conjure a Major Nature Protection Potion.  Cauldron has 25 uses and lasts for $d.



Conjured items disappear if logged out for more than 15 minutes."
41498;Cauldron of Major Shadow Protection;"Creates a cauldron that raid members can use to conjure a Major Shadow Protection Potion.  Cauldron has 25 uses and lasts for $d.



Conjured items disappear if logged out for more than 15 minutes."
41499;Empyreal Balance;Ensures the balance of power between the members of the Illidari Council. Equalizes health between all council members.
41500;Cauldron of Major Fire Protection;
41501;Cauldron of Major Frost Protection;
41502;Cauldron of Major Nature Protection;
41503;Cauldron of Major Shadow Protection;
41504;Recipe: Cauldron of Major Fire Protection;Teaches you how to make a Cauldron of Major Fire Protection.
41505;Recipe: Cauldron of Major Frost Protection;Teaches you how to make a Cauldron of Major Frost Protection.
41506;Recipe: Cauldron of Major Nature Protection;Teaches you how to make a Cauldron of Major Nature Protection.
41507;Recipe: Cauldron of Major Shadow Protection;Teaches you how to make a Cauldron of Major Shadow Protection.
41509;Envenom;
41510;Envenom;
41512;Increase Spell Dam 178;Increases spell power by $s1.
41513;Onyx Netherwing Drake;Summons and dismisses a rideable Onyx Netherwing Drake mount.  This is a very fast mount.  This mount can only be summoned in Outland or Northrend.
41514;Azure Netherwing Drake;Summons and dismisses a rideable Azure Netherwing Drake mount.  This is a very fast mount.  This mount can only be summoned in Outland or Northrend.
41515;Cobalt Netherwing Drake;Summons and dismisses a rideable Cobalt Netherwing Drake mount.  This is a very fast mount.  This mount can only be summoned in Outland or Northrend.
41516;Purple Netherwing Drake;Summons and dismisses a rideable Purple Netherwing Drake mount.  This is a very fast mount.  This mount can only be summoned in Outland or Northrend.
41517;Veridian Netherwing Drake;Summons and dismisses a rideable Veridian Netherwing Drake mount.  This is a very fast mount.  This mount can only be summoned in Outland or Northrend.
41518;Violet Netherwing Drake;Summons and dismisses a rideable Violet Netherwing Drake mount.  This is a very fast mount.  This mount can only be summoned in Outland or Northrend.
41519;Mark of Stormrage;
41520;Seethe;
41521;Exalted Aura;
41522;Exalted Aura Effect;
41523;Revered Ogri'la Aura;
41524;Arcane Explosion;"Sends out a blast wave of magic; inflicting Arcane damage to nearby enemies."
41525;"Ethereal Ring Visual; Lightning Aura (Fork)";
41526;Mark of Stormrage;
41527;Immune NPC;
41528;Mark of Stormrage;
41533;Flight of the Netherwing;
41534;War Stomp;"Inflicts normal damage plus $s3 to nearby enemies; knocking them back and stunning them for $d."
41535;Enslaved Soul Passive;
41537;Summon Enslaved Soul;
41538;Summon Enslaved Soul;
41540;Flight of the Netherwing;
41541;Consecration;"Consecrates the land beneath Paladin; doing $o1 Holy damage over $d to enemies who enter the area."
41542;Soul Release;
41543;Summon Reins (Jorus);
41544;Summon Reins (Malfas);
41545;Soul Scream;Deals $s1 Shadow damage to enemies in front of the caster.
41546;Summon Reins (Onyxien);
41547;Summon Reins (Suraku);
41548;Summon Reins (Voranaku);
41549;Summon Reins (Zoya);
41550;Disruption Ray;"Casts a disruption ray at the current target's location; causing a rupture to appear and entrap it."
41557;Revered Ogri'la Aura Effect;
41558;Unlearn Mooncloth Tailoring;"Unlearns Mooncloth tailoring; allowing you to choose another tailoring specialization."
41559;Unlearn Shadoweave Tailoring;"Unlearns Shadoweave tailoring; allowing you to choose another tailoring specialization."
41560;"Ethereal Ring Visual; Lightning Jumper (DND)";
41561;Increased Critical 14;Increases your critical strike rating by $s1.
41562;Increased Mana Regen;Restores $s1 mana per 5 sec.
41563;Unlearn Potion Mastery;"Unlearns Potion Mastery; allowing you to choose another alchemy specialization."
41564;Unlearn Elixir Mastery;"Unlearns Elixir Mastery; allowing you to choose another alchemy specialization."
41565;Unlearn Transmutation Mastery;"Unlearns Transmutation Mastery; allowing you to choose another alchemy specialization."
41566;Teleport to Ashtongue NPC's;
41567;"Ethereal Ring Visual; Lightning Jumper Aura";
41568;Teleport to Ashtongue NPC Trigger;
41569;"Ethereal Ring; Boss 3 spawn-in";
41570;Teleport to Council;
41571;Teleport to Council Trigger;
41572;Wing Buffet;"Inflicts $s2 damage to enemies in a cone in front of the caster; knocking them back."
41573;Acid Geyser;Deals $s2 Nature to the target and all nearby enemies.
41574;Revered Skyguard Aura;
41575;Revered Skyguard Aura Effect;
41578;Pyroblast;Inflicts Fire damage to an enemy.
41579;Iceblast;"Inflicts Frost damage to an enemy. 



Shatters a target that is frozen; dealing double damage and shattering the binding ice."
41580;Net;Immobilizes an enemy for $d.
41581;Charge;"Charges a target; knocking them back."
41583;Illidari Fire;
41584;Illidari Fire;
41586;Brewfest Toast;
41587;Rebirth;"Deals $s1 Fire damage to all enemies within $r1 yards; knocking them back."
41588;Mark of Vashj;"Binds the target to the Serpentshrine; allowing them unrestricted access."
41589;Cleansing Flame;Cleanses a debuff from the caster.
41590;Ice Block;"You become encased in a block of ice; protecting you from all physical attacks and reflecting all spells for $d; but during that time you cannot attack; move or cast spells."
41591;Increased Mana Regen;Restores $s1 mana per 5 sec.
41592;Spirit Channelling;"Stuns an enemy; rendering it unable to move or attack for $d."
41593;Aspect of the Flame;Fills the caster with the power of the flame.
41594;Aspect of the Ice;Fills the caster with the power of ice.
41595;Aspect of the Shadow;Fills the caster with the power of shadow.
41596;Flame Buffet;Inflicts $s1 Fire damage to an enemy and increases the Fire damage it takes by $s2 for $d.
41597;Siphon Life;Transfers $s1 health from the target to the caster every $t1 sec.  Lasts $d.
41598;Knockdown Felcannon: The Bolt Pair;
41600;Birth;
41601;Mark of the Sun;"Binds the target to the Eye of Tempest Keep; allowing them unrestricted access."
41602;Threat;Adds a large amount of threat to the target.
41603;Fel Flak Fire;Target takes $s2% damage every $t2 seconds.
41604;Supreme Power of Shattrath;Increases spell power by $s1 for $d. Counts as both a Battle and Guardian elixir.  This effect persists through death.
41605;Mighty Restoration of Shattrath;Increases the player's mana regeneration by $s1 mana per 5 seconds for $d. Counts as both a Battle and Guardian elixir.  This effect persists through death.
41606;Relentless Assault of Shattrath;Increases attack power by $s1 for $d. Counts as both a Battle and Guardian elixir.  This effect persists through death.
41607;Fortification of Shattrath;Increases the player's maximum health by $s1 and defense rating by $s2 for $d. Counts as both a Battle and Guardian elixir.  This effect persists through death.
41608;Relentless Assault of Shattrath;"Increases attack power by $41606s1 for $41606d. Counts as both a Battle and Guardian elixir.  This effect persists through death.



Only active in Tempest Keep; Serpentshrine Cavern; Caverns of Time: Mount Hyjal; Black Temple and the Sunwell Plateau."
41609;Fortification of Shattrath;"Increases maximum health by $s1 and defense rating by 10 for $d. Counts as both a Battle and Guardian elixir.  This effect persists through death.



Only active in Tempest Keep; Serpentshrine Cavern; Caverns of Time: Mount Hyjal; Black Temple and the Sunwell Plateau."
41610;Mighty Restoration of Shattrath;"Increases mana regeneration by $s1 mana per 5 seconds for $d. Counts as both a Battle and Guardian elixir.  This effect persists through death.



Only active in Tempest Keep; Serpentshrine Cavern; Caverns of Time: Mount Hyjal; Black Temple and the Sunwell Plateau."
41611;Supreme Power of Shattrath;"Increases damage done by magical spells and effects by up to $s1 for $d. Counts as both a Battle and Guardian elixir.  This effect persists through death.



Only active in Tempest Keep; Serpentshrine Cavern; Caverns of Time: Mount Hyjal; Black Temple and the Sunwell Plateau."
41614;Fixate;"Causes an enemy to fixate upon the caster. While the target is fixated upon the caster; the target is very reluctant to attack anything else."
41615;Stand;
41616;Emote Talk Question;
41617;Restore Mana;"Restores $s1 mana.



Only works inside Coilfang: The Serpentshrine; The Underbog; The Steamvaults; The Slave Pens."
41618;Restore Mana;"Restores $s1 mana.



Only works inside Tempest Keep: The Eye; The Arcatraz; The Botanica; The Mechanar."
41619;Healing Potion;"Restores $s1 health.



Only works inside Coilfang: The Serpentshrine; The Underbog; The Steamvaults; The Slave Pens."
41620;Healing Potion;"Restores $s1 health.



Only works inside Tempest Keep: The Eye; The Arcatraz; The Botanica; The Mechanar."
41621;Wolpertinger Net;"Throw a net at a wild wolpertinger; which will allow you to capture it and place it in your pack."
41622;Create Stunned Wolpertinger Item;
41623;Essence of Suffering Passive;
41624;Enfeeble;
41625;Fel Rage 3;"Cannot be made invulnerable by Divine Shield; Divine Protection; Blessing of Protection; or Ice Block."
41626;Destroy Spirit;Destroys a target Vengeful Spirit.
41629;Chaos Form;"Imbues the Shivan with the power of Chaos; opening a new level of offensive power."
41630;Flaming Haste;
41631;Chilling Creep;
41632;Shadowy Stride;
41633;Create Replacement Illidari Tabard;Replaces a lost Enchanted Illidari Tabard for the player.
41634;Invisibility and Stealth Detection;
41635;Prayer of Mending;"Places a spell on the target that heals them the next time they take damage.  When the heal occurs; Prayer of Mending jumps to a party or raid member within $a1 yards.  Jumps up to $n times and lasts $d after each jump.  This spell can only be placed on one target at a time."
41636;Increased Intellect 06;#NAVN?
41637;Prayer of Mending;
41638;Increased Stamina 05;#NAVN?
41639;Increased Stamina 05;#NAVN?
41640;Increased Stamina 05;#NAVN?
41641;Increased Defense;Increases defense rating by $s1.
41642;Increased Defense;Increases defense rating by $s1.
41643;Increased Critical 14;Increases your critical strike rating by $s1.
41644;Increase Healing 11;Increases spell power by $s1.
41645;Attack Power 10;Increases attack power by $s1.
41646;Attack Power 26;Increases attack power by $s1.
41647;Attack Power 28;Increases attack power by $s1.
41648;Increase Spell Dam 71;Increases spell power by $s1.
41649;Attack Power 40;Increases attack power by $s1.
41650;Increased Hit;Increases your hit rating by $s1.
41651;Increase Spell Dam 28;Increases spell power by $s1.
41652;Increased Stamina 20;#NAVN?
41653;Increased Stamina 15;#NAVN?
41654;Increase Spell Dam 23;Increases spell power by $s1.
41655;Weapon Damage;#NAVN?
41656;Increased Spell Penetration 38;Increases your spell penetration by $s1.
41657;Increase Spell Dam 18;Increases spell power by $s1.
41658;Increased Spell Hit Chance 16;Increases your hit rating by $s1.
41659;Increased Mana Regen;Restores $s1 mana per 5 sec.
41660;Resist Interrupt/Pushback;Reduces casting or channeling time lost when damaged by $s2%.
41661;Increased Armor 200;#NAVN?
41662;Increased All Resist 08;#NAVN?
41664;Increased All Resist 08;#NAVN?
41665;Increased Armor 200;#NAVN?
41666;Increased All Resist 08;#NAVN?
41667;Attack Power 40;Increases attack power by $s1.
41668;Increased All Resist 08;#NAVN?
